,timestamp
0,1136349843.0
1,1136984124.0
2,1137072318.0
3,1137155102.0
4,1137155352.0
5,1137285773.0
6,1137310029.0
7,1139381304.0
8,1139385681.0
9,1139397565.0
10,1139411795.0
11,1139803996.0
12,1139846677.0
13,1139870381.0
14,1140133049.0
15,1140447809.0
16,1141002031.0
17,1141007849.0
18,1141008255.0
19,1141067291.0
20,1141074379.0
21,1141145221.0
22,1141160666.0
23,1141228975.0
24,1141402372.0
25,1141531205.0
26,1141531903.0
27,1141671925.0
28,1141738615.0
29,1141770875.0
30,1141868007.0
31,1141931046.0
32,1141931952.0
33,1141956675.0
34,1142141333.0
35,1142449083.0
36,1142641301.0
37,1143237782.0
38,1143478307.0
39,1143680412.0
40,1143681556.0
41,1143688324.0
42,1143709528.0
43,1143713365.0
44,1143923927.0
45,1144027102.0
46,1144111778.0
47,1144133203.0
48,1144309039.0
49,1144373225.0
50,1144448502.0
51,1144829191.0
52,1144852939.0
53,1144853232.0
54,1144853634.0
55,1144855685.0
56,1144867212.0
57,1144868453.0
58,1144869483.0
59,1144881059.0
60,1144881078.0
61,1144881611.0
62,1144893296.0
63,1144926475.0
64,1144928062.0
65,1144928618.0
66,1144928909.0
67,1144944652.0
68,1144954552.0
69,1144966844.0
70,1145211476.0
71,1145830767.0
72,1146262695.0
73,1146329210.0
74,1146443401.0
75,1146521983.0
76,1146625955.0
77,1146675013.0
78,1146676704.0
79,1146748606.0
80,1146861460.0
81,1147308395.0
82,1147387991.0
83,1147395702.0
84,1147405035.0
85,1148228675.0
86,1148326809.0
87,1148359113.0
88,1148446147.0
89,1148473613.0
90,1148510253.0
91,1148520471.0
92,1148931987.0
93,1149053078.0
94,1149351670.0
95,1149466285.0
96,1149512524.0
97,1149602136.0
98,1149610184.0
99,1149622950.0
100,1149662079.0
101,1149686613.0
102,1149687195.0
103,1149687196.0
104,1149830980.0
105,1149874642.0
106,1149997780.0
107,1150294469.0
108,1150358827.0
109,1150483850.0
110,1150654289.0
111,1150663367.0
112,1150718439.0
113,1150772235.0
114,1151331599.0
115,1151338465.0
116,1151342869.0
117,1151354989.0
118,1151359711.0
119,1151362590.0
120,1151945864.0
121,1151952645.0
122,1151955340.0
123,1151958906.0
124,1151959116.0
125,1151994524.0
126,1151996012.0
127,1152055746.0
128,1152088309.0
129,1152091523.0
130,1152124512.0
131,1152527661.0
132,1152594214.0
133,1152596836.0
134,1152716900.0
135,1152726338.0
136,1152772522.0
137,1152787395.0
138,1152863225.0
139,1153099664.0
140,1153141354.0
141,1153184173.0
142,1153511289.0
143,1153517298.0
144,1153757380.0
145,1153759675.0
146,1153839546.0
147,1153842579.0
148,1153851451.0
149,1153933845.0
150,1154417685.0
151,1154430870.0
152,1154439342.0
153,1154536282.0
154,1154612488.0
155,1154631677.0
156,1154636277.0
157,1154641270.0
158,1154641807.0
159,1154645789.0
160,1154693975.0
161,1154914584.0
162,1154960589.0
163,1154984400.0
164,1155013047.0
165,1155048262.0
166,1155102705.0
167,1155228393.0
168,1155362477.0
169,1155375675.0
170,1155375985.0
171,1155480981.0
172,1155521807.0
173,1155738327.0
174,1155778298.0
175,1155872401.0
